# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 29 14:25:17 2017
#
# CONSTRAINT:  where (pl_pnum = 4
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
#
rowid,pl_hostname,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
397,HD 160691,4,310.55000000,0.83000000,-0.83000000,0,0.066600,0.012200,-0.012200,0,,,,,0.52190,,,0,Msini,,,,,1.08,0.05,-0.05,0,0,,,,,0
480,HD 20794,4,18.31500000,0.00800000,-0.00800000,0,0.000000,,,0,90.000,,,0,0.00850,0.00090,-0.00090,0,Msin(i)/sin(i),,,,,0.70,,,0,0,,,,,0
481,HD 20794,4,40.11400000,0.05300000,-0.05300000,0,0.000000,,,0,90.000,,,0,0.00760,0.00130,-0.00130,0,Msin(i)/sin(i),,,,,0.70,,,0,0,,,,,0
482,HD 20794,4,90.30900000,0.18400000,-0.18400000,0,0.000000,,,0,90.000,,,0,0.01500,0.00200,-0.00200,0,Msin(i)/sin(i),,,,,0.70,,,0,0,,,,,0
483,HD 20794,4,147.02000000,1.43000000,-0.91000000,0,0.290000,0.140000,-0.180000,0,,,,,0.01501,0.00302,-0.00271,0,Msini,,,,,0.70,,,0,0,,,,,0
745,HR 8799,4,170000.00000000,,,0,,,,,,,,,7.00000,4.00000,-2.00000,0,Mass,1.200,0.100,-0.100,0,1.51,0.04,-0.02,0,0,,,,,0
746,HR 8799,4,69000.00000000,,,0,,,,,,,,,10.00000,3.00000,-3.00000,0,Mass,1.200,0.100,0.000,0,1.51,0.04,-0.02,0,0,,,,,0
747,HR 8799,4,37000.00000000,,,0,,,,,,,,,10.00000,3.00000,-3.00000,0,Mass,1.200,0.100,0.000,0,1.51,0.04,-0.02,0,0,,,,,0
748,HR 8799,4,18000.00000000,,,0,,,,,,,,,,,,,,,,,,1.51,0.04,-0.02,0,0,,,,,0
868,K2-72,4,5.57739000,0.00068000,-0.00068000,0,,,,,,,,,,,,,,0.067,0.018,-0.018,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0
869,K2-72,4,15.18710000,0.00320000,-0.00320000,0,,,,,,,,,,,,,,0.077,0.020,-0.020,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0
870,K2-72,4,7.75990000,0.00140000,-0.00140000,0,,,,,,,,,,,,,,0.065,0.018,-0.018,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0
871,K2-72,4,24.16690000,0.00570000,-0.00570000,0,,,,,,,,,,,,,,0.073,0.020,-0.020,0,0.22,0.08,-0.08,0,0,0.23,0.06,-0.06,0,0
944,KOI-94,4,3.74320800,0.00001500,-0.00001500,0,0.250000,0.170000,-0.170000,0,89.300,0.570,-0.570,0,0.03300,0.01400,-0.01400,0,Mass,0.153,0.014,-0.014,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0
945,KOI-94,4,10.42364800,0.00001600,-0.00001600,0,0.430000,0.230000,-0.230000,0,88.360,0.750,-0.750,0,0.04900,0.01800,-0.04900,0,Mass,0.385,0.037,-0.037,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0
946,KOI-94,4,22.34298900,0.00000670,-0.00000670,0,0.022000,0.038000,-0.038000,0,89.871,0.123,-0.123,0,0.33400,0.03500,-0.03500,0,Mass,1.005,0.095,-0.095,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0
947,KOI-94,4,54.32031000,0.00012000,-0.00012000,0,0.019000,0.230000,-0.230000,0,89.760,0.150,-0.150,0,0.11000,0.05700,-0.08800,0,Mass,0.585,0.055,-0.055,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0
1031,Kepler-106,4,6.16486000,,,0,,,,,,,,,,,,,,0.073,0.010,-0.010,0,1.00,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0
1032,Kepler-106,4,13.57080000,,,0,,,,,,,,,0.03300,0.01000,-0.01000,0,Mass,0.223,0.029,-0.029,0,1.00,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0
1033,Kepler-106,4,23.98020000,,,0,,,,,,,,,,,,,,0.085,0.012,-0.012,0,1.00,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0
1034,Kepler-106,4,43.84450000,,,0,,,,,,,,,0.03500,0.01800,-0.01800,0,Mass,0.228,0.029,-0.029,0,1.00,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0
1046,Kepler-107,4,3.17999700,0.00001100,-0.00001100,0,,,,,,,,,,,,,,0.139,0.005,-0.005,0,,,,,,1.41,0.05,-0.05,0,0
1047,Kepler-107,4,4.90142500,0.00001600,-0.00001600,0,,,,,,,,,,,,,,0.161,0.016,-0.016,0,,,,,,1.41,0.05,-0.05,0,0
1048,Kepler-107,4,7.95820300,0.00010400,-0.00010400,0,,,,,,,,,,,,,,0.095,0.005,-0.005,0,,,,,,1.41,0.05,-0.05,0,0
1049,Kepler-107,4,14.74904900,0.00003400,-0.00003400,0,,,,,,,,,,,,,,0.308,0.022,-0.022,0,,,,,,1.41,0.05,-0.05,0,0
1373,Kepler-132,4,6.17819600,0.00002200,-0.00002200,0,,,,,,,,,,,,,,0.108,0.021,-0.021,0,,,,,,1.18,0.23,-0.23,0,0
1374,Kepler-132,4,6.41491400,0.00001900,-0.00001900,0,,,,,,,,,,,,,,0.114,0.022,-0.022,0,,,,,,1.18,0.23,-0.23,0,0
1375,Kepler-132,4,18.01019900,0.00006700,-0.00006700,0,,,,,,,,,,,,,,0.138,0.027,-0.027,0,,,,,,1.18,0.23,-0.23,0,0
1376,Kepler-132,4,110.28693740,0.00087800,-0.00087800,0,,,,,,,,,,,,,,0.105,0.014,-0.011,0,,,,,,1.18,0.23,-0.23,0,0
1464,Kepler-1388,4,12.28546030,0.00008795,-0.00008795,0,,,,,,,,,,,,,,0.231,0.012,-0.012,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0
1465,Kepler-1388,4,5.53608151,0.00002880,-0.00002880,0,,,,,,,,,,,,,,0.202,0.012,-0.010,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0
1466,Kepler-1388,4,20.95681580,0.00017130,-0.00017130,0,,,,,,,,,,,,,,0.255,0.011,-0.017,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0
1467,Kepler-1388,4,37.63270840,0.00072690,-0.00072690,0,,,,,,,,,,,,,,0.219,0.012,-0.013,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0
1668,Kepler-1542,4,3.95116882,0.00001633,-0.00001633,0,,,,,,,,,,,,,,0.068,0.010,-0.007,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0
1669,Kepler-1542,4,2.89223021,0.00001472,-0.00001472,0,,,,,,,,,,,,,,0.058,0.008,-0.005,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0
1670,Kepler-1542,4,5.99273738,0.00002260,-0.00002260,0,,,,,,,,,,,,,,0.078,0.011,-0.008,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0
1671,Kepler-1542,4,5.10115756,0.00002409,-0.00002409,0,,,,,,,,,,,,,,0.068,0.009,-0.007,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0
1812,Kepler-167,4,4.39316320,0.00000460,-0.00000450,0,0.000000,,,0,89.330,0.470,-0.800,0,,,,,,0.144,0.004,-0.004,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0
1813,Kepler-167,4,7.40611400,0.00001200,-0.00001100,0,0.000000,,,0,89.300,0.360,-0.430,0,,,,,,0.138,0.004,-0.004,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0
1814,Kepler-167,4,21.80385500,0.00007800,-0.00011900,0,0.120000,,,1,89.352,0.090,-0.140,0,,,,,,0.107,0.004,-0.004,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0
1815,Kepler-167,4,1071.23228000,0.00056000,-0.00056000,0,0.062000,0.104000,-0.043000,0,89.976,0.007,-0.005,0,,,,,,0.906,0.021,-0.021,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0
1829,Kepler-172,4,2.94030900,0.00000700,-0.00000700,0,,,,,,,,,,,,,,0.210,0.037,-0.037,0,0.86,,,0,0,1.08,0.19,-0.19,0,0
1830,Kepler-172,4,6.38899600,0.00002000,-0.00002000,0,,,,,,,,,,,,,,0.255,0.047,-0.047,0,0.86,,,0,0,1.08,0.19,-0.19,0,0
1831,Kepler-172,4,14.62711900,0.00010500,-0.00010500,0,,,,,,,,,,,,,,0.201,0.036,-0.036,0,0.86,,,0,0,1.08,0.19,-0.19,0,0
1832,Kepler-172,4,35.11873600,0.00025300,-0.00025300,0,,,,,,,,,,,,,,0.246,0.050,-0.050,0,0.86,,,0,0,1.08,0.19,-0.19,0,0
1840,Kepler-176,4,5.43307400,0.00002400,-0.00002400,0,,,,,,,,,,,,,,0.128,0.065,-0.065,0,,,,,,0.89,0.46,-0.46,0,0
1841,Kepler-176,4,12.75971200,0.00003300,-0.00003300,0,,,,,,,,,,,,,,0.232,0.119,-0.119,0,,,,,,0.89,0.46,-0.46,0,0
1842,Kepler-176,4,25.75197400,0.00011500,-0.00011500,0,,,,,,,,,,,,,,0.224,0.118,-0.118,0,,,,,,0.89,0.46,-0.46,0,0
1843,Kepler-176,4,51.16579000,0.00064320,-0.00064320,0,,,,,,,,,,,,,,0.129,0.011,-0.013,0,,,,,,0.89,0.46,-0.46,0,0
1898,Kepler-197,4,5.59930800,0.00002300,-0.00002300,0,,,,,,,,,,,,,,0.091,0.004,-0.004,0,,,,,,1.12,0.03,-0.03,0,0
1899,Kepler-197,4,10.34969500,0.00004500,-0.00004500,0,,,,,,,,,,,,,,0.110,0.004,-0.004,0,,,,,,1.12,0.03,-0.03,0,0
1900,Kepler-197,4,15.67756300,0.00009600,-0.00009600,0,,,,,,,,,,,,,,0.109,0.009,-0.009,0,,,,,,1.12,0.03,-0.03,0,0
1901,Kepler-197,4,25.20971500,0.00038700,-0.00038700,0,,,,,,,,,,,,,,0.081,0.004,-0.004,0,,,,,,1.12,0.03,-0.03,0,0
1932,Kepler-208,4,4.22864000,0.00001800,-0.00001800,0,,,,,,,,,,,,,,0.145,0.027,-0.027,0,1.03,,,0,0,1.31,0.24,-0.24,0,0
1933,Kepler-208,4,7.46662300,0.00006700,-0.00006700,0,,,,,,,,,,,,,,0.124,0.023,-0.023,0,1.03,,,0,0,1.31,0.24,-0.24,0,0
1934,Kepler-208,4,11.13178600,0.00013100,-0.00013100,0,,,,,,,,,,,,,,0.107,0.021,-0.021,0,1.03,,,0,0,1.31,0.24,-0.24,0,0
1935,Kepler-208,4,16.25945800,0.00017600,-0.00017600,0,,,,,,,,,,,,,,0.132,0.025,-0.025,0,1.03,,,0,0,1.31,0.24,-0.24,0,0
1949,Kepler-215,4,9.36067200,0.00004000,-0.00004000,0,,,,,,,,,,,,,,0.145,0.036,-0.036,0,0.77,,,0,0,1.03,0.24,-0.24,0,0
1950,Kepler-215,4,14.66710800,0.00008900,-0.00008900,0,,,,,,,,,,,,,,0.158,0.037,-0.037,0,0.77,,,0,0,1.03,0.24,-0.24,0,0
1951,Kepler-215,4,30.86442300,0.00009200,-0.00009200,0,,,,,,,,,,,,,,0.213,0.049,-0.049,0,0.77,,,0,0,1.03,0.24,-0.24,0,0
1952,Kepler-215,4,68.16101000,0.00063000,-0.00063000,0,,,,,,,,,,,,,,0.156,0.037,-0.037,0,0.77,,,0,0,1.03,0.24,-0.24,0,0
1965,Kepler-220,4,4.15980700,0.00001000,-0.00001000,0,,,,,,,,,,,,,,0.072,0.004,-0.004,0,,,,,,0.67,0.03,-0.03,0,0
1966,Kepler-220,4,9.03419900,0.00000900,-0.00000900,0,,,,,,,,,,,,,,0.140,0.008,-0.008,0,,,,,,0.67,0.03,-0.03,0,0
1967,Kepler-220,4,28.12239700,0.00016200,-0.00016200,0,,,,,,,,,,,,,,0.087,0.005,-0.005,0,,,,,,0.67,0.03,-0.03,0,0
1968,Kepler-220,4,45.90273300,0.00019200,-0.00019200,0,,,,,,,,,,,,,,0.119,0.011,-0.011,0,,,,,,0.67,0.03,-0.03,0,0
1969,Kepler-221,4,2.79590600,0.00000400,-0.00000400,0,,,,,,,,,,,,,,0.153,0.015,-0.015,0,0.72,,,0,0,0.82,0.07,-0.07,0,0
1970,Kepler-221,4,5.69058600,0.00000400,-0.00000400,0,,,,,,,,,,,,,,0.261,0.024,-0.024,0,0.72,,,0,0,0.82,0.07,-0.07,0,0
1971,Kepler-221,4,10.04156000,0.00001100,-0.00001100,0,,,,,,,,,,,,,,0.244,0.022,-0.022,0,0.72,,,0,0,0.82,0.07,-0.07,0,0
1972,Kepler-221,4,18.36991700,0.00002900,-0.00002900,0,,,,,,,,,,,,,,0.235,0.022,-0.022,0,0.72,,,0,0,0.82,0.07,-0.07,0,0
1976,Kepler-223,4,7.38449000,0.00022000,-0.00022000,0,0.078000,0.015000,-0.017000,0,90.000,,-1.800,0,0.02328,0.00409,-0.00346,0,Mass,0.267,0.016,-0.024,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0
1977,Kepler-223,4,9.84564000,0.00052000,-0.00051000,0,0.150000,0.019000,-0.051000,0,90.000,,-1.300,0,0.01605,0.00535,-0.00346,0,Mass,0.307,0.018,-0.027,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0
1978,Kepler-223,4,14.78869000,0.00030000,-0.00027000,0,0.037000,0.018000,-0.017000,0,87.940,0.320,-0.260,0,0.02517,0.00472,-0.00409,0,Mass,0.467,0.023,-0.040,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0
1979,Kepler-223,4,19.72567000,0.00055000,-0.00054000,0,0.051000,0.019000,-0.019000,0,88.000,0.270,-0.210,0,0.01510,0.00440,-0.00378,0,Mass,0.410,0.024,-0.037,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0
1980,Kepler-224,4,3.13292400,0.00001400,-0.00001400,0,,,,,,,,,,,,,,0.124,0.008,-0.008,0,0.74,,,0,0,0.68,0.04,-0.04,0,0
1981,Kepler-224,4,5.92500300,0.00001000,-0.00001000,0,,,,,,,,,,,,,,0.278,0.023,-0.023,0,0.74,,,0,0,0.68,0.04,-0.04,0,0
1982,Kepler-224,4,11.34939300,0.00003400,-0.00003400,0,,,,,,,,,,,,,,0.205,0.012,-0.012,0,0.74,,,0,0,0.68,0.04,-0.04,0,0
1983,Kepler-224,4,18.64357700,0.00008700,-0.00008700,0,,,,,,,,,,,,,,0.176,0.013,-0.013,0,0.74,,,0,0,0.68,0.04,-0.04,0,0
2010,Kepler-235,4,3.34022200,0.00000500,-0.00000500,0,,,,,,,,,,,,,,0.199,0.009,-0.009,0,0.59,,,0,0,0.55,0.02,-0.02,0,0
2011,Kepler-235,4,7.82490400,0.00005500,-0.00005500,0,,,,,,,,,,,,,,0.114,0.007,-0.007,0,0.59,,,0,0,0.55,0.02,-0.02,0,0
2012,Kepler-235,4,20.06054800,0.00009900,-0.00009900,0,,,,,,,,,,,,,,0.183,0.009,-0.009,0,0.59,,,0,0,0.55,0.02,-0.02,0,0
2013,Kepler-235,4,46.18366900,0.00042500,-0.00042500,0,,,,,,,,,,,,,,0.198,0.026,-0.026,0,0.59,,,0,0,0.55,0.02,-0.02,0,0
2025,Kepler-24,4,8.14530000,,,0,,,,,,,,,1.60000,,,1,Mass,0.214,,,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0
2026,Kepler-24,4,12.33350000,,,0,,,,,,,,,1.60000,,,1,Mass,0.250,,,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0
2027,Kepler-24,4,4.24438400,0.00005300,-0.00005300,0,,,,,,,,,,,,,,0.149,0.035,-0.035,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0
2028,Kepler-24,4,18.99835500,0.00015700,-0.00015700,0,,,,,,,,,,,,,,0.248,0.057,-0.057,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0
2040,Kepler-245,4,7.49019000,0.00001900,-0.00001900,0,,,,,,,,,,,,,,0.229,0.016,-0.016,0,0.80,,,0,0,0.80,0.05,-0.05,0,0
2041,Kepler-245,4,17.46081200,0.00007600,-0.00007600,0,,,,,,,,,,,,,,0.194,0.015,-0.015,0,0.80,,,0,0,0.80,0.05,-0.05,0,0
2042,Kepler-245,4,36.27710800,0.00017300,-0.00017300,0,,,,,,,,,,,,,,0.270,0.019,-0.019,0,0.80,,,0,0,0.80,0.05,-0.05,0,0
2043,Kepler-245,4,3.21982106,0.00000474,-0.00000474,0,,,,,,,,,,,,,,0.156,0.007,-0.005,0,0.80,,,0,0,0.80,0.05,-0.05,0,0
2060,Kepler-251,4,4.79093600,0.00003700,-0.00003700,0,,,,,,,,,,,,,,0.119,0.021,-0.021,0,0.91,,,0,0,0.89,0.15,-0.15,0,0
2061,Kepler-251,4,16.51404300,0.00005400,-0.00005400,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,0.91,,,0,0,0.89,0.15,-0.15,0,0
2062,Kepler-251,4,30.13300100,0.00016100,-0.00016100,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,0.91,,,0,0,0.89,0.15,-0.15,0,0
2063,Kepler-251,4,99.64016100,0.00107400,-0.00107400,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,0.91,,,0,0,0.89,0.15,-0.15,0,0
2075,Kepler-256,4,1.62049300,0.00000900,-0.00000900,0,,,,,,,,,,,,,,0.142,0.035,-0.035,0,1.02,,,0,0,1.30,0.32,-0.32,0,0
2076,Kepler-256,4,3.38802000,0.00001600,-0.00001600,0,,,,,,,,,,,,,,0.192,0.047,-0.047,0,1.02,,,0,0,1.30,0.32,-0.32,0,0
2077,Kepler-256,4,5.83917200,0.00003100,-0.00003100,0,,,,,,,,,,,,,,0.221,0.056,-0.056,0,1.02,,,0,0,1.30,0.32,-0.32,0,0
2078,Kepler-256,4,10.68157200,0.00006600,-0.00006600,0,,,,,,,,,,,,,,0.210,0.052,-0.052,0,1.02,,,0,0,1.30,0.32,-0.32,0,0
2086,Kepler-26,4,12.28000000,0.00030000,-0.00030000,0,,,,,,,,,0.01611,0.00205,-0.00192,0,Mass,0.248,0.010,-0.010,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0
