# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Wed Nov 29 14:25:17 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum = 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincllim:  Inclination Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radblend:    Stellar Radius Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_ecos_omegabar,pl_ecos_omegabarerr1,pl_ecos_omegabarerr2,pl_esin_omegabar,pl_esin_omegabarerr1,pl_esin_omegabarerr2,notes
944,KOI-94,4,3.743208,0.000015,-0.000015,0,0.25,0.17,-0.17,0,89.3,0.57,-0.57,0,0.033,0.014,-0.014,0,Mass,0.153,0.014,-0.014,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,,,,,,,None
945,KOI-94,4,10.423648,0.000016,-0.000016,0,0.43,0.23,-0.23,0,88.36,0.75,-0.75,0,0.049,0.018,-0.049,0,Mass,0.385,0.037,-0.037,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,,,,,,,None
946,KOI-94,4,22.342989,0.0000067,-0.0000067,0,0.022,0.038,-0.038,0,89.871,0.123,-0.123,0,0.334,0.035,-0.035,0,Mass,1.005,0.095,-0.095,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,,,,,,,None
947,KOI-94,4,54.32031,0.00012,-0.00012,0,0.019,0.23,-0.23,0,89.76,0.15,-0.15,0,0.11,0.057,-0.088,0,Mass,0.585,0.055,-0.055,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,,,,,,,None
944,KOI-94_mas,4,3.743208,0.000015,-0.000015,0,0.25,0.17,-0.17,0,89.3,0.57,-0.57,0,0.033,0.014,-0.014,0,Mass,0.153,0.014,-0.014,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,,,,,,,kept the same (Weiss et al.)
945,KOI-94_mas,4,10.4236892,0.0000054,-0.0000054,0,,,,2,88.36,0.75,-0.75,0,0.0296,0.0076,-0.0066,0,Mass,0.385,0.037,-0.037,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,0.0143,0.008,-0.0059,0.0045,0.0091,-0.0079,Replaced with Masuda et al. The e is constained as e*cos(omegabar) and e*sin(omegabar). omegabar=longitude of periastron=omega+Omega(longitude of ascending node=0 for us because there is no inclination)
946,KOI-94_mas,4,22.3429704,0.0000036,-0.0000036,0,,,,2,89.871,0.123,-0.123,0,0.164,0.022,-0.022,0,Mass,1.005,0.095,-0.095,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,-0.022,0.014,-0.011,0.008,0.021,-0.018,Replaced with Masuda et al. The e is constained as e*cos(omegabar) and e*sin(omegabar). omegabar=longitude of periastron=omega+Omega(longitude of ascending node=0 for us because there is no inclination)
947,KOI-94_mas,4,54.319832,0.000035,-0.000035,0,,,,2,89.76,0.15,-0.15,0,0.0409,0.0079,-0.0066,0,Mass,0.585,0.055,-0.055,0,1.28,0.05,-0.05,0,0,1.52,0.14,-0.14,0,0,-0.078,0.021,-0.014,-0.025,0.017,-0.014,Replaced with Masuda et al. The e is constained as e*cos(omegabar) and e*sin(omegabar). omegabar=longitude of periastron=omega+Omega(longitude of ascending node=0 for us because there is no inclination)
1031,Kepler-106,4,6.16486,,,0,,,,,,,,,,,,,,0.073,0.01,-0.01,0,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0,,,,,,,None
1032,Kepler-106,4,13.5708,,,0,,,,,,,,,0.033,0.01,-0.01,0,Mass,0.223,0.029,-0.029,0,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0,,,,,,,None
1033,Kepler-106,4,23.9802,,,0,,,,,,,,,,,,,,0.085,0.012,-0.012,0,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0,,,,,,,None
1034,Kepler-106,4,43.8445,,,0,,,,,,,,,0.035,0.018,-0.018,0,Mass,0.228,0.029,-0.029,0,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0,,,,,,,None
1046,Kepler-107,4,3.179997,0.000011,-0.000011,0,,,,,,,,,,,,,,0.139,0.005,-0.005,0,,,,,,1.41,0.05,-0.05,0,0,,,,,,,None
1047,Kepler-107,4,4.901425,0.000016,-0.000016,0,,,,,,,,,,,,,,0.161,0.016,-0.016,0,,,,,,1.41,0.05,-0.05,0,0,,,,,,,None
1048,Kepler-107,4,7.958203,0.000104,-0.000104,0,,,,,,,,,,,,,,0.095,0.005,-0.005,0,,,,,,1.41,0.05,-0.05,0,0,,,,,,,None
1049,Kepler-107,4,14.749049,0.000034,-0.000034,0,,,,,,,,,,,,,,0.308,0.022,-0.022,0,,,,,,1.41,0.05,-0.05,0,0,,,,,,,None
1373,Kepler-132,4,6.178196,0.000022,-0.000022,0,,,,,,,,,,,,,,0.108,0.021,-0.021,0,,,,,,1.18,0.23,-0.23,0,0,,,,,,,None
1374,Kepler-132,4,6.414914,0.000019,-0.000019,0,,,,,,,,,,,,,,0.114,0.022,-0.022,0,,,,,,1.18,0.23,-0.23,0,0,,,,,,,None
1375,Kepler-132,4,18.010199,0.000067,-0.000067,0,,,,,,,,,,,,,,0.138,0.027,-0.027,0,,,,,,1.18,0.23,-0.23,0,0,,,,,,,None
1376,Kepler-132,4,110.2869374,0.000878,-0.000878,0,,,,,,,,,,,,,,0.105,0.014,-0.011,0,,,,,,1.18,0.23,-0.23,0,0,,,,,,,None
1464,Kepler-1388,4,12.2854603,0.00008795,-0.00008795,0,,,,,,,,,,,,,,0.231,0.012,-0.012,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0,,,,,,,None
1465,Kepler-1388,4,5.53608151,0.0000288,-0.0000288,0,,,,,,,,,,,,,,0.202,0.012,-0.01,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0,,,,,,,None
1466,Kepler-1388,4,20.9568158,0.0001713,-0.0001713,0,,,,,,,,,,,,,,0.255,0.011,-0.017,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0,,,,,,,None
1467,Kepler-1388,4,37.6327084,0.0007269,-0.0007269,0,,,,,,,,,,,,,,0.219,0.012,-0.013,0,0.63,0.02,-0.03,0,0,0.61,0.02,-0.03,0,0,,,,,,,None
1668,Kepler-1542,4,3.95116882,0.00001633,-0.00001633,0,,,,,,,,,,,,,,0.068,0.01,-0.007,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0,,,,,,,None
1669,Kepler-1542,4,2.89223021,0.00001472,-0.00001472,0,,,,,,,,,,,,,,0.058,0.008,-0.005,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0,,,,,,,None
1670,Kepler-1542,4,5.99273738,0.0000226,-0.0000226,0,,,,,,,,,,,,,,0.078,0.011,-0.008,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0,,,,,,,None
1671,Kepler-1542,4,5.10115756,0.00002409,-0.00002409,0,,,,,,,,,,,,,,0.068,0.009,-0.007,0,0.94,0.03,-0.03,0,0,0.99,0.13,-0.09,0,0,,,,,,,None
1812,Kepler-167,4,4.3931632,0.0000046,-0.0000045,0,0,,,0,89.33,0.47,-0.8,0,,,,,,0.144,0.004,-0.004,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0,,,,,,,None
1813,Kepler-167,4,7.406114,0.000012,-0.000011,0,0,,,0,89.3,0.36,-0.43,0,,,,,,0.138,0.004,-0.004,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0,,,,,,,None
1814,Kepler-167,4,21.803855,0.000078,-0.000119,0,0.12,,,1,89.352,0.09,-0.14,0,,,,,,0.107,0.004,-0.004,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0,,,,,,,None
1815,Kepler-167,4,1071.23228,0.00056,-0.00056,0,0.062,0.104,-0.043,0,89.976,0.007,-0.005,0,,,,,,0.906,0.021,-0.021,0,0.77,0.02,-0.03,0,0,0.73,0.02,-0.01,0,0,,,,,,,None
1829,Kepler-172,4,2.940309,0.000007,-0.000007,0,,,,,,,,,,,,,,0.21,0.037,-0.037,0,0.86,,,0,0,1.08,0.19,-0.19,0,0,,,,,,,None
1830,Kepler-172,4,6.388996,0.00002,-0.00002,0,,,,,,,,,,,,,,0.255,0.047,-0.047,0,0.86,,,0,0,1.08,0.19,-0.19,0,0,,,,,,,None
1831,Kepler-172,4,14.627119,0.000105,-0.000105,0,,,,,,,,,,,,,,0.201,0.036,-0.036,0,0.86,,,0,0,1.08,0.19,-0.19,0,0,,,,,,,None
1832,Kepler-172,4,35.118736,0.000253,-0.000253,0,,,,,,,,,,,,,,0.246,0.05,-0.05,0,0.86,,,0,0,1.08,0.19,-0.19,0,0,,,,,,,None
1840,Kepler-176,4,5.433074,0.000024,-0.000024,0,,,,,,,,,,,,,,0.128,0.065,-0.065,0,,,,,,0.89,0.46,-0.46,0,0,,,,,,,None
1841,Kepler-176,4,12.759712,0.000033,-0.000033,0,,,,,,,,,,,,,,0.232,0.119,-0.119,0,,,,,,0.89,0.46,-0.46,0,0,,,,,,,None
1842,Kepler-176,4,25.751974,0.000115,-0.000115,0,,,,,,,,,,,,,,0.224,0.118,-0.118,0,,,,,,0.89,0.46,-0.46,0,0,,,,,,,None
1843,Kepler-176,4,51.16579,0.0006432,-0.0006432,0,,,,,,,,,,,,,,0.129,0.011,-0.013,0,,,,,,0.89,0.46,-0.46,0,0,,,,,,,None
1898,Kepler-197,4,5.599308,0.000023,-0.000023,0,,,,,,,,,,,,,,0.091,0.004,-0.004,0,,,,,,1.12,0.03,-0.03,0,0,,,,,,,None
1899,Kepler-197,4,10.349695,0.000045,-0.000045,0,,,,,,,,,,,,,,0.11,0.004,-0.004,0,,,,,,1.12,0.03,-0.03,0,0,,,,,,,None
